"origin","destination","in 1990","in 1995","in 2000","in 2005","in 2010","in 2015","in 2020","in 2024"
"Afghanistan","Lithuania",40,45,35,31,24,20,41,43
"Bangladesh","Lithuania",18,13,10,9,7,5,44,46
"India","Lithuania",216,169,132,124,95,11,567,597
"Iran, Islamic Rep.","Lithuania",24,27,21,55,82,121,60,63
"Maldives","Lithuania",0,0,0,0,0,0,1,1
"Nepal","Lithuania",9,7,6,5,3,12,15,16
"Pakistan","Lithuania",35,40,31,50,63,91,7,7
"Sri Lanka","Lithuania",22,18,14,13,10,3,61,64
"Cambodia","Lithuania",2,2,1,1,1,5,4,4
"Indonesia","Lithuania",4,3,2,2,1,2,10,11
"Lao PDR","Lithuania",1,0,0,0,0,0,3,3
"Malaysia","Lithuania",4,3,1,1,1,1,11,12
"Philippines","Lithuania",20,16,12,12,8,0,58,61
"Singapore","Lithuania",4,3,3,2,2,10,5,5
"Thailand","Lithuania",7,5,4,3,3,2,20,21
"Viet Nam","Lithuania",66,74,57,52,40,35,40,42
"Armenia","Lithuania",815,870,681,729,678,579,427,450
"Azerbaijan","Lithuania",2193,1711,1340,1271,1031,878,690,727
"Bahrain","Lithuania",1,1,1,1,0,2,5,5
"Cyprus","Lithuania",3,4,3,19,33,33,51,54
"Georgia","Lithuania",2036,1144,896,868,723,656,488,514
"Iraq","Lithuania",26,20,16,14,11,16,55,58
"Israel","Lithuania",30,34,26,34,39,18,146,154
"Jordan","Lithuania",3,2,1,1,1,2,8,8
"Kuwait","Lithuania",5,4,3,3,1,11,5,5
"Lebanon","Lithuania",118,133,104,83,52,31,14,15
"Oman","Lithuania",2,0,0,0,0,1,5,5
"Qatar","Lithuania",3,2,2,1,1,2,8,8
"Saudi Arabia","Lithuania",8,6,4,4,2,8,14,15
"Syrian Arab Republic","Lithuania",168,131,103,96,76,20,431,454
"Turkiye","Lithuania",40,45,35,59,75,64,233,245
"United Arab Emirates","Lithuania",17,19,14,21,27,35,61,64
"Belarus","Lithuania",80249,71602,56088,52280,41370,33613,33813,35625
"Bulgaria","Lithuania",33,37,28,59,83,74,140,147
"Czechia","Lithuania",66,74,57,81,94,87,120,126
"Hungary","Lithuania",132,147,115,123,115,101,140,147
"Poland","Lithuania",4372,4890,3830,3467,2633,2167,1900,2002
"Moldova","Lithuania",1763,1081,846,834,710,563,936,986
"Romania","Lithuania",35,40,31,130,213,211,360,379
"Russian Federation","Lithuania",158448,121622,95271,88849,70305,58511,51718,54490
"Slovak Republic","Lithuania",16,18,14,25,34,38,71,75
"Ukraine","Lithuania",43228,25598,20051,18521,14475,12347,20566,43908
"Denmark","Lithuania",100,112,87,236,354,377,605,637
"Estonia","Lithuania",1514,1414,1107,1107,958,816,822,866
"Finland","Lithuania",74,83,65,89,101,108,164,173
"Iceland","Lithuania",7,8,6,32,54,54,57,60
"Ireland","Lithuania",18,21,16,794,1465,1465,1790,1886
"Latvia","Lithuania",11157,10638,8333,8048,6670,5630,5722,6029
"Norway","Lithuania",43,49,38,632,1142,1418,2763,2911
"Sweden","Lithuania",478,308,241,293,307,312,555,585
"United Kingdom","Lithuania",281,315,246,2224,3901,4306,6620,6975
"Albania","Lithuania",11,9,6,6,4,4,28,29
"Bosnia and Herzegovina","Lithuania",1,1,1,1,0,3,2,2
"Croatia","Lithuania",15,11,8,8,6,7,35,37
"Greece","Lithuania",10,12,9,35,57,55,103,109
"Italy","Lithuania",40,45,35,200,338,355,643,677
"Malta","Lithuania",9,7,6,5,3,9,19,20
"North Macedonia","Lithuania",3,2,1,1,1,4,7,7
"Portugal","Lithuania",3,4,3,33,59,65,128,135
"Serbia","Lithuania",4,3,3,2,2,2,13,14
"Slovenia","Lithuania",4,2,2,2,1,3,10,11
"Spain","Lithuania",1450,935,732,745,658,630,833,878
"Austria","Lithuania",48,53,41,54,60,60,80,84
"Belgium","Lithuania",30,34,26,123,205,181,272,287
"France","Lithuania",215,241,188,280,335,334,519,547
"Germany","Lithuania",1833,2049,1605,1819,1786,1628,2090,2202
"Luxembourg","Lithuania",15,11,9,8,6,18,24,25
"Monaco","Lithuania",0,0,0,0,0,2,0,0
"Netherlands","Lithuania",33,37,28,85,131,166,310,327
"Switzerland","Lithuania",23,26,20,37,50,61,100,105
"Aruba","Lithuania",0,0,0,0,0,2,1,1
"Bahamas, The","Lithuania",0,0,0,0,0,1,0,0
"Cuba","Lithuania",10,7,6,5,5,16,14,15
"Dominica","Lithuania",0,0,0,0,0,1,0,0
"Jamaica","Lithuania",0,0,0,0,0,1,0,0
"Belize","Lithuania",0,0,0,0,0,1,0,0
"Honduras","Lithuania",1,0,0,0,0,2,1,1
"Mexico","Lithuania",17,13,10,10,7,16,33,35
"Nicaragua","Lithuania",0,0,0,0,0,0,1,1
"Argentina","Lithuania",83,93,72,74,67,53,65,68
"Bolivia","Lithuania",1,1,0,0,0,3,1,1
"Brazil","Lithuania",75,84,65,72,70,61,77,81
"Chile","Lithuania",3,2,1,1,0,6,4,4
"Colombia","Lithuania",10,7,5,5,4,10,19,20
"Ecuador","Lithuania",1,1,0,0,0,1,5,5
"Guyana","Lithuania",0,0,0,0,0,0,1,1
"Paraguay","Lithuania",0,0,0,0,0,3,0,0
"Peru","Lithuania",5,3,3,3,1,5,11,12
"Suriname","Lithuania",0,0,0,0,0,1,0,0
"Uruguay","Lithuania",22,25,19,24,26,25,17,18
"Venezuela, RB","Lithuania",11,9,6,6,4,9,24,25
"Canada","Lithuania",66,74,57,49,36,29,38,40
"United States","Lithuania",1170,1310,1026,936,719,554,588,619
"Australia","Lithuania",22,25,19,33,44,41,57,60
"New Zealand","Lithuania",6,4,4,3,2,8,11,12
"Samoa","Lithuania",0,0,0,0,0,1,0,0
"Burundi","Norway",0,3,58,440,895,1014,1123,1249
"Comoros","Norway",1,1,1,2,4,6,4,4
"Djibouti","Norway",6,3,11,12,34,58,61,68
"Eritrea","Norway",19,44,530,1780,4828,15150,22974,25546
"Ethiopia","Norway",1681,2227,2567,3028,5137,7900,9493,10556
"Kenya","Norway",489,618,827,1077,1496,1964,2309,2567
"Madagascar","Norway",337,365,371,419,444,471,492,547
"Malawi","Norway",8,3,12,55,93,119,112,125
"Mauritius","Norway",145,148,138,147,173,187,196,218
"Mozambique","Norway",22,32,60,102,138,191,193,215
"Rwanda","Norway",6,33,148,316,530,612,662,736
"Seychelles","Norway",2,3,4,5,12,12,13,14
"Somalia, Fed. Rep.","Norway",1286,3293,6445,12645,17925,27009,29034,32285
"South Sudan","Norway",0,0,0,0,0,65,178,198
"Uganda","Norway",242,325,459,629,824,1126,1586,1764
"Tanzania","Norway",248,350,507,647,832,931,935,1040
"Zambia","Norway",115,140,184,252,463,537,558,620
"Zimbabwe","Norway",70,90,148,180,228,291,319,355
"Angola","Norway",30,41,103,239,377,490,496,552
"Cameroon","Norway",121,149,197,365,543,677,814,905
"Central African Republic","Norway",4,5,6,8,7,19,26,29
"Chad","Norway",7,9,7,16,23,24,31,34
"Congo, Rep.","Norway",132,172,266,681,145,222,254,282
"Congo, Dem. Rep.","Norway",32,27,34,144,1689,2186,2798,3111
"Equatorial Guinea","Norway",1,2,3,4,3,12,13,14
"Gabon","Norway",2,2,3,4,8,9,11,12
"Sao Tome and Principe","Norway",0,1,2,2,2,10,5,6
"Algeria","Norway",448,558,731,912,1113,1210,1283,1427
"Egypt, Arab Rep.","Norway",290,310,383,500,726,1071,1355,1507
"Libya","Norway",57,54,70,196,284,539,760,845
"Morocco","Norway",2393,3044,3719,4309,4874,5522,6199,6893
"Sudan","Norway",68,138,341,659,1061,3264,4794,5331
"Tunisia","Norway",375,447,530,644,855,1003,1133,1260
"Botswana","Norway",35,36,82,96,110,118,118,131
"Eswatini","Norway",3,4,6,7,14,15,19,21
"Lesotho","Norway",2,3,3,5,9,14,9,10
"Namibia","Norway",19,20,39,72,81,82,99,110
"South Africa","Norway",629,641,744,833,1160,1450,1741,1936
"Benin","Norway",11,3,7,8,18,28,27,30
"Burkina Faso","Norway",19,10,11,15,23,31,32,36
"Cabo Verde","Norway",163,167,234,251,382,405,406,451
"Cote d'Ivoire","Norway",71,92,122,184,282,336,369,410
"Gambia, The","Norway",570,676,789,879,1012,1151,1252,1392
"Ghana","Norway",736,1104,1050,1198,1524,1879,2094,2328
"Guinea","Norway",29,27,30,77,163,273,298,331
"Guinea-Bissau","Norway",9,10,13,13,22,64,68,76
"Liberia","Norway",66,71,70,846,895,922,955,1062
"Mali","Norway",5,14,17,34,39,53,57,63
"Mauritania","Norway",3,7,12,10,18,60,69,77
"Niger","Norway",0,5,6,22,35,48,56,62
"Nigeria","Norway",306,370,414,579,1002,1776,1977,2198
"Senegal","Norway",36,44,71,98,173,253,310,345
"Sierra Leone","Norway",143,153,195,372,468,514,518,576
"Togo","Norway",53,39,63,67,95,115,113,126
"Kazakhstan","Norway",0,6,46,290,646,931,973,1082
"Kyrgyz Republic","Norway",0,0,6,53,141,192,236,262
"Tajikistan","Norway",0,0,10,52,91,108,121,135
"Turkmenistan","Norway",0,0,9,42,57,76,87,97
"Uzbekistan","Norway",3,4,30,110,302,488,660,734
"China","Norway",1862,2878,3617,5938,9823,12197,13579,15099
"Hong Kong SAR, China","Norway",728,854,884,910,1643,2344,2673,2972
"Korea, Dem. People's Rep.","Norway",26,23,25,27,40,37,36,40
"Japan","Norway",826,867,926,953,1181,1381,1540,1712
"Mongolia","Norway",0,0,8,42,94,146,154,171
"Korea, Rep.","Norway",4821,5355,5966,6514,7056,7413,7832,8709
"Afghanistan","Norway",253,351,638,5023,8836,13124,17242,19172
"Bangladesh","Norway",558,492,485,553,704,997,1331,1480
"Bhutan","Norway",5,8,15,22,233,365,373,415
"India","Norway",4422,4621,5130,5806,8132,11845,14726,16374
"Iran, Islamic Rep.","Norway",5198,7055,8857,11527,13037,16043,18379,20436
"Maldives","Norway",0,0,1,1,4,5,4,4
"Nepal","Norway",52,71,164,325,719,1559,2233,2483
"Pakistan","Norway",10470,11567,13283,15081,17152,19283,21140,23507
"Sri Lanka","Norway",4707,6122,7295,8157,8714,9187,9531,10598
"Brunei Darussalam","Norway",20,20,21,22,29,34,34,38
"Cambodia","Norway",107,155,173,222,328,405,472,525
"Indonesia","Norway",427,463,573,854,1244,1526,1711,1903
"Lao PDR","Norway",56,64,50,53,84,99,130,145
"Malaysia","Norway",182,230,304,366,590,836,934,1039
"Myanmar","Norway",30,47,56,510,2428,3109,3258,3623
"Philippines","Norway",3552,4686,5698,7939,13124,20512,24388,27118
"Singapore","Norway",268,314,365,454,587,764,866,963
"Thailand","Norway",1291,2238,3584,7206,13026,18017,22304,24801
"Timor-Leste","Norway",2,3,4,5,14,15,8,9
"Viet Nam","Norway",7522,10594,11177,11993,12919,13682,14596,16230
"Armenia","Norway",4,15,33,156,196,301,333,370
"Azerbaijan","Norway",0,3,63,187,367,521,557,619
"Bahrain","Norway",6,12,18,21,25,32,34,38
"Cyprus","Norway",70,91,105,113,121,196,210,234
"Georgia","Norway",0,11,16,124,207,312,338,376
"Iraq","Norway",738,2376,6941,15274,20534,22006,23557,26194
"Israel","Norway",422,506,506,608,712,787,889,989
"Jordan","Norway",48,74,109,147,301,428,611,679
"Kuwait","Norway",24,94,142,199,316,399,491,546
"Lebanon","Norway",590,997,1189,1400,1673,1846,2784,3096
"Oman","Norway",10,13,28,26,35,54,45,50
"Qatar","Norway",0,0,12,21,32,68,91,101
"Saudi Arabia","Norway",36,69,203,237,368,627,964,1072
"Syrian Arab Republic","Norway",194,420,582,969,1423,13249,31197,34690
"Turkiye","Norway",4977,5974,7300,9038,10429,11106,12238,13608
"United Arab Emirates","Norway",27,34,82,131,245,433,616,685
"Yemen, Rep.","Norway",13,22,35,68,170,352,611,679
"Belarus","Norway",0,36,108,396,676,1020,1211,1347
"Bulgaria","Norway",369,566,787,1082,2043,5696,7293,8109
"Czechia","Norway",148,185,506,881,1345,2139,2225,2474
"Hungary","Norway",1356,1328,1409,1500,2145,3902,4306,4788
"Poland","Norway",4367,5157,5738,8224,49005,90350,100479,111728
"Moldova","Norway",3,4,23,168,302,773,1228,1365
"Romania","Norway",286,577,1082,1641,4366,12003,14872,16537
"Russian Federation","Norway",61,820,3114,8829,13748,17119,18486,20555
"Slovak Republic","Norway",6,18,141,486,2025,3815,3779,4202
"Ukraine","Norway",6,77,314,1110,2432,4223,5693,71094
"Denmark","Norway",21160,21161,21713,21971,22586,25312,24842,27624
"Estonia","Norway",23,159,302,626,1975,5013,4742,5273
"Faroe Islands","Norway",527,742,902,771,812,883,796,885
"Finland","Norway",4257,4533,6635,6476,6593,6779,7182,7986
"Iceland","Norway",2221,2601,3780,3622,4849,8221,7786,8658
"Ireland","Norway",446,474,498,500,700,1103,1159,1289
"Isle of Man","Norway",0,0,0,0,0,6,0,0
"Latvia","Norway",15,130,326,691,2731,9541,10589,11774
"Lithuania","Norway",8,75,274,1313,9784,35565,39856,44319
"Sweden","Norway",20429,23219,33401,32760,41604,49068,48283,53689
"United Kingdom","Norway",14586,13692,14347,14463,16760,19331,19940,22172
"Albania","Norway",21,81,149,274,435,969,2174,2417
"Andorra","Norway",2,2,3,5,7,12,12,13
"Bosnia and Herzegovina","Norway",3,9401,11573,12486,12952,13201,13946,15507
"Croatia","Norway",7,102,1425,2540,2730,3390,4897,5445
"Gibraltar","Norway",1,2,2,3,8,8,7,8
"Greece","Norway",475,495,575,649,849,2279,3352,3727
"Italy","Norway",1090,1157,1413,1547,2265,3976,5040,5604
"Malta","Norway",37,35,46,51,62,99,105,117
"Montenegro","Norway",108,130,164,203,304,404,486,540
"North Macedonia","Norway",0,26,537,1831,2127,2467,2932,3260
"Portugal","Norway",600,630,708,741,1098,2854,3536,3932
"San Marino","Norway",0,0,1,1,4,4,4,4
"Serbia","Norway",1347,1633,2048,3438,3297,3883,6778,7537
"Slovenia","Norway",0,10,59,109,187,378,438,487
"Spain","Norway",1321,1403,1610,1824,2674,6239,7350,8173
"Austria","Norway",997,936,1058,1063,1300,1578,1688,1877
"Belgium","Norway",782,818,886,986,1305,1660,1890,2102
"France","Norway",2433,2459,2934,3159,4620,6305,6676,7423
"Germany","Norway",8821,9318,11445,14000,24735,28005,28327,31499
"Liechtenstein","Norway",3,6,6,4,25,27,20,22
"Luxembourg","Norway",58,67,89,105,123,140,149,166
"Monaco","Norway",3,3,4,6,13,14,13,14
"Netherlands","Norway",3268,3552,4108,4697,7235,8590,9088,10105
"Switzerland","Norway",1151,1237,1501,1541,1868,2226,2427,2699
"Antigua and Barbuda","Norway",0,0,0,1,3,4,4,4
"Aruba","Norway",3,5,6,7,17,19,16,18
"Bahamas, The","Norway",7,8,9,8,13,21,23,26
"Barbados","Norway",9,14,20,21,20,23,24,27
"British Virgin Islands","Norway",0,1,1,1,4,5,4,4
"Cayman Islands","Norway",0,0,0,0,1,5,3,3
"Cuba","Norway",44,49,209,488,715,966,1103,1226
"Dominica","Norway",4,5,6,8,15,16,22,24
"Dominican Republic","Norway",53,128,236,379,556,791,963,1071
"Grenada","Norway",2,3,4,5,0,19,16,18
"Haiti","Norway",6,10,11,22,30,40,51,57
"Jamaica","Norway",44,54,73,115,145,161,183,203
"Puerto Rico (US)","Norway",0,0,13,16,0,0,0,0
"St. Kitts and Nevis","Norway",0,0,0,1,3,3,2,2
"St. Lucia","Norway",2,3,5,5,13,14,13,14
"St. Vincent and the Grenadines","Norway",1,3,3,4,23,5,4,4
"Trinidad and Tobago","Norway",221,223,265,297,334,345,356,396
"Turks and Caicos Islands","Norway",0,0,0,0,0,1,2,2
"Belize","Norway",2,3,4,4,8,12,13,14
"Costa Rica","Norway",130,157,177,217,245,277,320,356
"El Salvador","Norway",54,81,108,128,155,202,225,250
"Guatemala","Norway",208,234,285,352,389,445,472,525
"Honduras","Norway",57,63,61,69,94,118,133,148
"Mexico","Norway",208,262,380,516,834,1224,1530,1701
"Nicaragua","Norway",35,57,98,123,156,191,223,248
"Panama","Norway",12,21,27,36,52,60,85,95
"Argentina","Norway",445,491,533,622,803,1086,1246,1385
"Bolivia","Norway",117,171,263,335,424,535,583,648
"Brazil","Norway",576,895,1260,1967,3577,5152,6256,6956
"Chile","Norway",5496,5249,5444,5837,6308,6585,6698,7448
"Colombia","Norway",1618,2584,3230,4084,4806,5636,6186,6878
"Ecuador","Norway",177,272,376,474,582,759,833,926
"Guyana","Norway",67,69,78,82,86,88,91,101
"Paraguay","Norway",50,55,74,99,137,149,174,193
"Peru","Norway",277,417,548,785,1161,1476,1669,1856
"Suriname","Norway",10,9,17,21,39,41,37,41
"Uruguay","Norway",145,145,163,154,186,234,248,276
"Venezuela, RB","Norway",80,133,178,259,626,1059,1225,1362
"Bermuda","Norway",1,3,3,4,11,11,9,10
"Canada","Norway",2126,2121,2242,2330,2771,3028,3354,3729
"Greenland","Norway",123,155,184,212,255,296,280,311
"United States","Norway",15827,15407,14956,14369,15975,17500,18657,20746
"Australia","Norway",797,878,977,1203,1770,2206,2457,2732
"New Zealand","Norway",266,305,316,362,527,630,635,706
"Fiji","Norway",12,17,24,27,40,41,41,46
"New Caledonia","Norway",1,1,3,3,7,10,8,9
"Papua New Guinea","Norway",1,3,3,4,9,8,12,13
"Solomon Islands","Norway",1,1,1,2,3,6,4,4
"Vanuatu","Norway",0,0,0,0,2,2,0,0
"Kiribati","Norway",0,0,0,0,2,2,2,2
"Micronesia, Fed. Sts.","Norway",0,0,0,0,1,1,0,0
"Palau","Norway",0,0,0,0,2,2,1,1
"French Polynesia","Norway",2,2,2,4,6,13,7,8
"Samoa","Norway",0,1,1,1,3,6,3,3
"Tonga","Norway",0,1,1,1,5,5,5,6
"Tuvalu","Norway",0,0,0,0,1,1,0,0
"Eritrea","Sweden",637,1030,2603,5093,9606,25145,46543,59751
"Ethiopia","Sweden",13181,13418,12159,11233,13463,16406,21922,24644
"Somalia, Fed. Rep.","Sweden",6474,9961,12929,15687,35171,59295,70181,74146
"Congo, Dem. Rep.","Sweden",489,714,976,1322,2167,3234,5262,7671
"Egypt, Arab Rep.","Sweden",1400,1853,2055,2452,3535,6022,9299,12132
"Morocco","Sweden",2956,3735,4411,5441,7215,9256,11726,13437
"Sudan","Sweden",340,527,688,988,1612,3519,6592,10016
"Nigeria","Sweden",279,453,669,1295,2823,4516,6685,9397
"China","Sweden",3736,5651,7864,12642,22704,28556,35677,40898
"Mongolia","Sweden",14,23,37,106,639,2485,4905,6866
"Korea, Rep.","Sweden",7975,8484,9087,9746,10320,10714,11686,12163
"Afghanistan","Sweden",911,1465,3945,7965,13500,29853,59971,79353
"Bangladesh","Sweden",1679,2301,2891,3785,5937,7250,11938,15502
"India","Sweden",8063,9921,10978,13294,17201,22539,41743,62598
"Iran, Islamic Rep.","Sweden",39569,48225,50875,54136,61064,68746,80749,89047
"Pakistan","Sweden",1604,2528,3030,4425,9818,11304,20142,31536
"Sri Lanka","Sweden",5256,5583,5826,6193,6689,6990,7537,9514
"Philippines","Sweden",3079,4054,5323,7024,9552,12191,15468,17955
"Thailand","Sweden",4957,7550,10001,17201,30107,38465,43969,47636
"Viet Nam","Sweden",6087,5727,10714,12197,14283,16853,20925,23055
"Iraq","Sweden",9646,24127,46268,71123,120037,130939,146282,150470
"Lebanon","Sweden",15707,21073,20076,21260,23919,25919,28695,30587
"Saudi Arabia","Sweden",386,564,817,996,1600,3340,6795,8610
"Syrian Arab Republic","Sweden",5643,8971,13819,16479,20163,81758,192662,243388
"Turkiye","Sweden",25216,29357,31652,35388,41662,46256,52174,58113
"Bulgaria","Sweden",2355,3079,3464,3928,6457,8552,9870,11009
"Hungary","Sweden",15038,14728,14187,13636,15250,16372,16607,16739
"Poland","Sweden",35078,39056,40019,44907,68952,83640,93744,102889
"Romania","Sweden",8795,10879,11700,12649,19134,25499,32526,38394
"Russian Federation","Sweden",1586,2555,6020,10450,14985,19243,22520,26376
"Ukraine","Sweden",360,580,1341,2629,4482,7072,11494,45259
"Denmark","Sweden",43899,40840,38190,42141,45808,42114,39185,37372
"Estonia","Sweden",11482,11213,10315,9893,9981,10291,9718,9461
"Finland","Sweden",218888,206860,196304,185076,170856,157247,142468,129139
"Latvia","Sweden",1412,1945,2268,2651,4410,6771,8708,11474
"Lithuania","Sweden",244,394,732,2018,6152,10914,15767,19476
"Norway","Sweden",52690,45532,42315,44840,43617,42161,41346,39914
"United Kingdom","Sweden",11189,12593,14348,16976,20602,24830,30513,34445
"Albania","Sweden",150,243,351,647,1209,2320,7495,11986
"Bosnia and Herzegovina","Sweden",42924,45326,51146,54587,56157,57499,60110,60819
"Croatia","Sweden",1877,2372,5037,5883,6258,7941,12041,14041
"Greece","Sweden",13196,12205,10907,10768,11288,15593,19655,21838
"Italy","Sweden",5959,5931,6286,6593,7666,10387,13946,16955
"North Macedonia","Sweden",389,625,2194,3279,4621,6302,9177,11796
"Serbia","Sweden",1598,22188,27514,14213,14641,9591,15467,20194
"Spain","Sweden",4883,4964,5058,5569,6652,9859,12808,15166
"France","Sweden",3779,4242,5465,6436,7872,9257,11684,14381
"Germany","Sweden",36427,35795,37913,41211,48006,49468,51437,56910
"Netherlands","Sweden",3486,3668,4430,5711,8513,10415,12609,15864
"Brazil","Sweden",2194,2813,3432,4344,5885,7112,10441,14151
"Chile","Sweden",27540,27036,26779,27740,28359,28139,27976,27831
"Colombia","Sweden",5145,6120,7176,8705,10372,11814,12961,14267
"Peru","Sweden",2646,3267,4434,5406,6643,7454,8069,8735
"United States","Sweden",12959,13765,14296,15450,16874,19543,23047,26172
"Kenya","United Kingdom",111254,119424,128179,134123,139811,139658,138636,137817
"Somalia, Fed. Rep.","United Kingdom",0,8528,38752,61984,97125,108244,114673,119728
"Zimbabwe","United Kingdom",19291,30162,46161,72839,116367,126584,130091,132869
"South Africa","United Kingdom",63164,92386,133401,164846,198360,216440,232701,245446
"Ghana","United Kingdom",30910,40880,53658,70262,92044,112694,136606,154782
"Nigeria","United Kingdom",44047,61112,83822,125003,189847,236603,286251,324007
"China","United Kingdom",15269,48320,128015,198650,282763,254071,213560,179337
"Hong Kong SAR, China","United Kingdom",72708,80651,89206,98669,109135,120712,133566,142011
"Afghanistan","United Kingdom",0,0,11071,26438,57255,73923,88375,99398
"Bangladesh","United Kingdom",101236,123254,149563,177175,209056,239351,272827,298666
"India","United Kingdom",405445,433162,462269,561720,700150,817881,946151,1044779
"Iran, Islamic Rep.","United Kingdom",31600,36268,41505,56842,80720,96383,112117,124200
"Pakistan","United Kingdom",227526,267139,312751,387949,486938,562645,642044,703309
"Sri Lanka","United Kingdom",37243,49372,64921,89047,123503,138622,150722,160178
"Malaysia","United Kingdom",43404,46293,49330,57519,68428,68963,67838,66932
"Philippines","United Kingdom",20494,28101,38081,65818,119858,143863,162275,176515
"Singapore","United Kingdom",33699,36688,39944,41187,42072,43373,44803,45936
"Iraq","United Kingdom",14301,20986,30318,46088,71037,82532,91917,99203
"Turkiye","United Kingdom",24544,35627,51027,68250,90269,108907,129595,145391
"Poland","United Kingdom",74813,67979,61534,165337,558210,728332,826408,902193
"Romania","United Kingdom",3697,5200,7201,20888,69898,189427,502169,713578
"Ukraine","United Kingdom",1122,6105,11115,15293,20844,26701,33920,274187
"Ireland","United Kingdom",635576,586223,540309,504766,472667,431716,392620,360446
"Lithuania","United Kingdom",0,0,390,7666,80308,135776,176332,206668
"Croatia","United Kingdom",5447,6159,6874,7550,8280,10353,13235,15398
"Italy","United Kingdom",89882,97552,105774,120428,138174,193121,279194,342143
"Portugal","United Kingdom",18551,25516,34704,53955,86147,119433,162212,193901
"Spain","United Kingdom",37601,44692,52956,65657,81989,117365,172026,211894
"France","United Kingdom",50575,68006,90748,111713,135705,150186,163882,174571
"Germany","United Kingdom",214905,237328,261961,279818,297427,295863,291380,287772
"Jamaica","United Kingdom",142246,144149,146062,152301,159856,156146,150892,146646
"Canada","United Kingdom",64645,68179,71889,75737,79837,80855,81405,81845
"United States","United Kingdom",144531,150798,157282,173804,194269,211556,229523,243570
"Australia","United Kingdom",71717,86757,104720,115290,124989,125672,124920,124319
"New Zealand","United Kingdom",39953,47640,56738,60058,62311,58621,54300,50762
"Turkiye","Albania",2489,2690,2892,2441,1990,1961,1838,1746
"Greece","Albania",40087,43331,46575,39315,32054,31596,29643,28166
"Italy","Albania",11287,12200,13113,11069,9025,8896,8344,7928
"North Macedonia","Albania",678,732,787,664,542,534,499,474
"Canada","Albania",1151,1244,1337,1128,920,906,849,807
"United States","Albania",3011,3255,3498,2953,2408,2373,2225,2114
"Morocco","Andorra",296,383,471,549,556,470,505,536
"Philippines","Andorra",146,222,297,392,443,425,457,485
"Denmark","Andorra",84,111,138,140,121,112,119,126
"Sweden","Andorra",54,52,49,55,53,49,51,54
"United Kingdom","Andorra",1043,975,907,1085,1125,1054,1135,1206
"Italy","Andorra",109,130,151,349,527,458,492,523
"Portugal","Andorra",3957,5364,6771,10722,13686,10697,11534,12251
"Spain","Andorra",27103,26972,26841,28450,25929,20577,22196,23577
"Belgium","Andorra",241,241,241,255,231,215,230,244
"France","Andorra",4135,4216,4298,4875,4796,3890,4194,4455
"Germany","Andorra",347,351,355,401,392,339,364,387
"Netherlands","Andorra",190,209,229,260,257,244,262,278
"Switzerland","Andorra",64,69,74,86,87,80,85,90
"Argentina","Andorra",86,118,151,494,819,682,734,780
"Chile","Andorra",68,63,58,148,230,214,229,243
"Uruguay","Andorra",78,78,77,105,122,102,108,115
"United States","Andorra",100,95,89,101,100,105,112,119
"Australia","Andorra",36,39,41,59,70,65,69,73
"Hungary","Bosnia and Herzegovina",233,237,240,156,161,160,148,140
"Romania","Bosnia and Herzegovina",624,524,424,323,409,406,379,359
"Russian Federation","Bosnia and Herzegovina",271,228,185,141,179,177,164,155
"Slovak Republic","Bosnia and Herzegovina",4681,5736,6791,3961,3409,3389,3165,2996
"Croatia","Bosnia and Herzegovina",21218,27272,33326,17930,12849,12776,11956,11319
